"Kod";Nazwa;ludność w tysiącach;
1020044;"Aleksandrów Łódzki - miasto (4)";22,00;
1020045;"Aleksandrów Łódzki - obszar wiejski (5)";13,11;
1020052;"Głowno (2)";4,63;
1020062;"Ozorków (2)";7,25;
1020072;"Parzęczew (2)";5,28;
1020083;"Stryków (3)";13,01;
1020084;"Stryków - miasto (4)";3,36;
1020085;"Stryków - obszar wiejski (5)";9,65;
1020092;"Zgierz (2)";16,34;
1021000;"Powiat brzeziński";30,16;
1021011;"Brzeziny (1)";11,95;
1021022;"Brzeziny (2)";6,13;
1021032;"Dmosin (2)";4,37;
1021043;"Jeżów (3)";3,14;
1021044;"Jeżów - miasto (4)";1,25;
1021045;"Jeżów - obszar wiejski (5)";1,89;
1021052;"Rogów (2)";4,58;
1061000;"Powiat m. Łódź";652,02;
1061011;"Łódź (1)";652,02;
1062000;"Powiat m. Piotrków Trybunalski";66,52;
1062011;"Piotrków Trybunalski (1)";66,52;
1063000;"Powiat m. Skierniewice";45,18;
1063011;"Skierniewice (1)";45,18;
1200000;"MAŁOPOLSKIE";3429,63;
1201000;"Powiat bocheński";106,95;
1201011;"Bochnia (1)";28,44;
1201022;"Bochnia (2)";20,82;
1201032;"Drwinia (2)";6,43;
1201042;"Lipnica Murowana (2)";5,53;
1201052;"Łapanów (2)";8,61;
1201063;"Nowy Wiśnicz (3)";14,42;
1201064;"Nowy Wiśnicz - miasto (4)";2,73;
1201065;"Nowy Wiśnicz - obszar wiejski (5)";11,69;
1201072;"Rzezawa (2)";11,45;
1201082;"Trzciana (2)";5,72;
1201092;"Żegocina (2)";5,53;
1202000;"Powiat brzeski";91,67;
1202012;"Borzęcin (2)";8,11;
1202023;"Brzesko (3)";35,48;
1202024;"Brzesko - miasto (4)";15,93;
1202025;"Brzesko - obszar wiejski (5)";19,55;
1202033;"Czchów (3)";9,72;
1202034;"Czchów - miasto (4)";2,28;
1202035;"Czchów - obszar wiejski (5)";7,45;
1202042;"Dębno (2)";14,50;
1202052;"Gnojnik (2)";8,11;
1202062;"Iwkowa (2)";6,62;
1202072;"Szczurowa (2)";9,12;
1203000;"Powiat chrzanowski";118,68;
1203013;"Alwernia (3)";12,35;
1203014;"Alwernia - miasto (4)";3,24;
1203015;"Alwernia - obszar wiejski (5)";9,11;
1203022;"Babice (2)";8,99;
1203033;"Chrzanów (3)";43,94;
1203034;"Chrzanów - miasto (4)";33,93;
1203035;"Chrzanów - obszar wiejski (5)";10,01;
1203043;"Libiąż (3)";21,08;
1203044;"Libiąż - miasto (4)";15,91;
1203045;"Libiąż - obszar wiejski (5)";5,17;
1203053;"Trzebinia (3)";32,32;
1203054;"Trzebinia - miasto (4)";18,50;
1203055;"Trzebinia - obszar wiejski (5)";13,82;
1204000;"Powiat dąbrowski";57,55;
1204012;"Bolesław (2)";2,63;
1204023;"Dąbrowa Tarnowska (3)";20,93;
1204024;"Dąbrowa Tarnowska - miasto (4)";11,46;
1204025;"Dąbrowa Tarnowska - obszar wiejski (5)";9,47;
1204032;"Gręboszów (2)";3,16;
1204042;"Mędrzechów (2)";3,29;
1204052;"Olesno (2)";7,63;
1204062;"Radgoszcz (2)";7,47;
1204073;"Szczucin (3)";12,45;
1204074;"Szczucin - miasto (4)";4,09;
1204075;"Szczucin - obszar wiejski (5)";8,36;
1205000;"Powiat gorlicki";105,32;
1205011;"Gorlice (1)";25,52;
1205023;"Biecz (3)";16,10;
1205024;"Biecz - miasto (4)";4,31;
1205025;"Biecz - obszar wiejski (5)";11,79;
1205033;"Bobowa (3)";9,61;
1205034;"Bobowa - miasto (4)";3,06;
1205035;"Bobowa - obszar wiejski (5)";6,55;
1205042;"Gorlice (2)";16,95;
1205052;"Lipinki (2)";6,68;
1205062;"Łużna (2)";8,34;
1205072;"Moszczenica (2)";4,90;
1205082;"Ropa (2)";5,49;
1205092;"Sękowa (2)";4,94;
1205102;"Uście Gorlickie (2)";6,78;
1206000;"Powiat krakowski";302,35;
1206012;"Czernichów (2)";15,44;
1206022;"Igołomia-Wawrzeńczyce (2)";7,84;
1206032;"Iwanowice (2)";9,82;
1206042;"Jerzmanowice-Przeginia (2)";11,19;
1206052;"Kocmyrzów-Luborzyca (2)";18,24;
1206063;"Krzeszowice (3)";31,87;
1206064;"Krzeszowice - miasto (4)";9,74;
1206065;"Krzeszowice - obszar wiejski (5)";22,12;
1206072;"Liszki (2)";18,59;
1206082;"Michałowice (2)";13,38;
1206092;"Mogilany (2)";16,29;
1206103;"Skała (3)";10,95;
1206104;"Skała - miasto (4)";3,88;
1206105;"Skała - obszar wiejski (5)";7,07;
1206113;"Skawina (3)";44,00;
1206114;"Skawina - miasto (4)";23,97;
1206115;"Skawina - obszar wiejski (5)";20,04;
1206123;"Słomniki (3)";13,68;
1206124;"Słomniki - miasto (4)";4,16;
1206125;"Słomniki - obszar wiejski (5)";9,51;
1206132;"Sułoszowa (2)";5,67;
1206143;"Świątniki Górne (3)";11,12;
1206144;"Świątniki Górne - miasto (4)";2,39;
1206145;"Świątniki Górne - obszar wiejski (5)";8,74;
1206152;"Wielka Wieś (2)";16,92;
1206162;"Zabierzów (2)";29,60;
1206172;"Zielonki (2)";27,75;
1207000;"Powiat limanowski";131,65;
1207011;"Limanowa (1)";14,43;
1207021;"Mszana Dolna (1)";7,83;
1207032;"Dobra (2)";10,11;
1207042;"Jodłownik (2)";8,77;
1207052;"Kamienica (2)";7,79;
1207062;"Laskowa (2)";8,18;
1207072;"Limanowa (2)";26,05;
1207082;"Łukowica (2)";10,17;
1207092;"Mszana Dolna (2)";17,64;
1207102;"Niedźwiedź (2)";7,31;
1207112;"Słopnice (2)";7,01;
1207122;"Tymbark (2)";6,37;
1208000;"Powiat miechowski";46,67;
1208012;"Charsznica (2)";7,08;
1208022;"Gołcza (2)";5,92;
1208032;"Kozłów (2)";4,42;
1208043;"Książ Wielki (3)";4,83;
1208044;"Książ Wielki - miasto (4)";0,84;
1208045;"Książ Wielki - obszar wiejski (5)";3,99;
1208053;"Miechów (3)";18,69;
1208054;"Miechów - miasto (4)";10,92;
1208055;"Miechów - obszar wiejski (5)";7,77;
1208062;"Racławice (2)";2,42;
1208072;"Słaboszów (2)";3,31;
1209000;"Powiat myślenicki";129,84;
1209013;"Dobczyce (3)";15,53;
1209014;"Dobczyce - miasto (4)";6,16;
1209015;"Dobczyce - obszar wiejski (5)";9,37;
1209022;"Lubień (2)";10,09;
1209033;"Myślenice (3)";45,54;
1209034;"Myślenice - miasto (4)";17,75;
1209035;"Myślenice - obszar wiejski (5)";27,80;
1209042;"Pcim (2)";11,09;
1209052;"Raciechowice (2)";6,43;
1209062;"Siepraw (2)";9,64;
1209073;"Sułkowice (3)";15,19;
1209074;"Sułkowice - miasto (4)";6,46;
1209075;"Sułkowice - obszar wiejski (5)";8,73;
1209082;"Tokarnia (2)";8,80;
1209092;"Wiśniowa (2)";7,53;
1210000;"Powiat nowosądecki";215,03;
1210011;"Grybów (1)";5,95;
1210022;"Chełmiec (2)";29,73;
1210032;"Gródek nad Dunajcem (2)";8,92;
1210042;"Grybów (2)";25,34;
1210052;"Kamionka Wielka (2)";10,48;
1210062;"Korzenna (2)";14,43;
1210073;"Krynica-Zdrój (3)";15,62;
1210074;"Krynica-Zdrój - miasto (4)";9,60;
1210075;"Krynica-Zdrój - obszar wiejski (5)";6,02;
1210082;"Łabowa (2)";6,02;
1210092;"Łącko (2)";16,67;
1210102;"Łososina Dolna (2)";11,21;
1210113;"Muszyna (3)";11,09;
1210114;"Muszyna - miasto (4)";4,43;
1210115;"Muszyna - obszar wiejski (5)";6,65;
1210122;"Nawojowa (2)";8,86;
1210133;"Piwniczna-Zdrój (3)";9,94;
1210134;"Piwniczna-Zdrój - miasto (4)";5,39;
1210135;"Piwniczna-Zdrój - obszar wiejski (5)";4,56;
1210142;"Podegrodzie (2)";13,58;
1210152;"Rytro (2)";3,67;
1210163;"Stary Sącz (3)";23,53;
1210164;"Stary Sącz - miasto (4)";8,70;
1210165;"Stary Sącz - obszar wiejski (5)";14,83;
1211000;"Powiat nowotarski";190,11;
1211011;"Nowy Targ (1)";33,07;
1211023;"Szczawnica (3)";6,65;
1211024;"Szczawnica - miasto (4)";5,21;
1211025;"Szczawnica - obszar wiejski (5)";1,44;
1211033;"Czarny Dunajec (3)";22,18;
1211034;"Czarny Dunajec - miasto (4)";3,68;
1211035;"Czarny Dunajec - obszar wiejski (5)";18,50;
1211042;"Czorsztyn (2)";7,60;
1211052;"Jabłonka (2)";19,15;
1211062;"Krościenko nad Dunajcem (2)";6,64;
1211072;"Lipnica Wielka (2)";6,05;
1211082;"Łapsze Niżne (2)";9,25;
1211092;"Nowy Targ (2)";24,06;
1211102;"Ochotnica Dolna (2)";8,49;
1211112;"Raba Wyżna (2)";14,45;
1211123;"Rabka-Zdrój (3)";16,55;
1211124;"Rabka-Zdrój - miasto (4)";12,23;
1211125;"Rabka-Zdrój - obszar wiejski (5)";4,31;
1211132;"Spytkowice (2)";4,71;
1211142;"Szaflary (2)";11,27;
1212000;"Powiat olkuski";105,90;
1212011;"Bukowno (1)";9,47;
1212032;"Bolesław (2)";7,57;
1212042;"Klucze (2)";14,44;
1212053;"Olkusz (3)";45,63;
1212054;"Olkusz - miasto (4)";32,26;
1212055;"Olkusz - obszar wiejski (5)";13,37;
1212062;"Trzyciąż (2)";6,91;
1212073;"Wolbrom (3)";21,88;
1212074;"Wolbrom - miasto (4)";8,05;
1212075;"Wolbrom - obszar wiejski (5)";13,84;
1213000;"Powiat oświęcimski";148,42;
1213011;"Oświęcim (1)";35,58;
1213023;"Brzeszcze (3)";20,37;
1213024;"Brzeszcze - miasto (4)";10,66;
1213025;"Brzeszcze - obszar wiejski (5)";9,71;
1213033;"Chełmek (3)";12,31;
1213034;"Chełmek - miasto (4)";8,41;
1213035;"Chełmek - obszar wiejski (5)";3,89;
1213043;"Kęty (3)";33,27;
1213044;"Kęty - miasto (4)";17,67;
1213045;"Kęty - obszar wiejski (5)";15,60;
1213052;"Osiek (2)";8,13;
1213062;"Oświęcim (2)";18,99;
1213072;"Polanka Wielka (2)";4,31;
1213082;"Przeciszów (2)";6,36;
1213093;"Zator (3)";9,12;
1213094;"Zator - miasto (4)";3,60;
1213095;"Zator - obszar wiejski (5)";5,52;
1214000;"Powiat proszowicki";42,01;
1214012;"Koniusza (2)";9,09;
1214023;"Koszyce (3)";5,22;
1214024;"Koszyce - miasto (4)";0,76;
1214025;"Koszyce - obszar wiejski (5)";4,47;
1214033;"Nowe Brzesko (3)";5,61;
1214034;"Nowe Brzesko - miasto (4)";1,60;
1214035;"Nowe Brzesko - obszar wiejski (5)";4,01;
1214042;"Pałecznica (2)";3,45;
1214053;"Proszowice (3)";15,47;
1214054;"Proszowice - miasto (4)";5,74;
1214055;"Proszowice - obszar wiejski (5)";9,73;
1214062;"Radziemice (2)";3,17;
1215000;"Powiat suski";82,89;
1215011;"Jordanów (1)";5,40;
1215021;"Sucha Beskidzka (1)";8,87;
1215032;"Budzów (2)";8,83;
1215042;"Bystra-Sidzina (2)";6,80;
1215052;"Jordanów (2)";11,19;
1215063;"Maków Podhalański (3)";15,74;
1215064;"Maków Podhalański - miasto (4)";5,53;
1215065;"Maków Podhalański - obszar wiejski (5)";10,21;
1215072;"Stryszawa (2)";11,89;
1215082;"Zawoja (2)";8,78;
1215092;"Zembrzyce (2)";5,39;
1216000;"Powiat tarnowski";197,34;
1216013;"Ciężkowice (3)";10,99;
1216014;"Ciężkowice - miasto (4)";2,48;
1216015;"Ciężkowice - obszar wiejski (5)";8,50;
1216022;"Gromnik (2)";8,75;
1216032;"Lisia Góra (2)";15,62;
1216042;"Pleśna (2)";11,74;
1216053;"Radłów (3)";9,39;
1216054;"Radłów - miasto (4)";2,70;
1216055;"Radłów - obszar wiejski (5)";6,69;
1216063;"Ryglice (3)";11,21;
1216064;"Ryglice - miasto (4)";2,67;
1216065;"Ryglice - obszar wiejski (5)";8,53;
1216072;"Rzepiennik Strzyżewski (2)";6,51;
1216082;"Skrzyszów (2)";14,17;
1216092;"Tarnów (2)";26,42;
1216103;"Tuchów (3)";16,99;
1216104;"Tuchów - miasto (4)";6,18;
1216105;"Tuchów - obszar wiejski (5)";10,81;
1216112;"Wierzchosławice (2)";10,53;
1216122;"Wietrzychowice (2)";3,72;
1216133;"Wojnicz (3)";13,07;
1216134;"Wojnicz - miasto (4)";3,14;
1216135;"Wojnicz - obszar wiejski (5)";9,93;
1216143;"Zakliczyn (3)";12,36;
1216144;"Zakliczyn - miasto (4)";1,58;
1216145;"Zakliczyn - obszar wiejski (5)";10,78;
1216153;"Żabno (3)";18,40;
1216154;"Żabno - miasto (4)";4,10;
1216155;"Żabno - obszar wiejski (5)";14,30;
1216162;"Szerzyny (2)";7,50;
1217000;"Powiat tatrzański";66,48;
1217011;"Zakopane (1)";25,20;
1217022;"Biały Dunajec (2)";6,83;
1217032;"Bukowina Tatrzańska (2)";13,57;
1217042;"Kościelisko (2)";9,08;
1217052;"Poronin (2)";11,80;
1218000;"Powiat wadowicki";157,47;
1218013;"Andrychów (3)";41,95;
1218014;"Andrychów - miasto (4)";18,31;
1218015;"Andrychów - obszar wiejski (5)";23,64;
1218022;"Brzeźnica (2)";10,83;
1218033;"Kalwaria Zebrzydowska (3)";19,89;
1218034;"Kalwaria Zebrzydowska - miasto (4)";4,30;
1218035;"Kalwaria Zebrzydowska - obszar wiejski (5)";15,59;
1218042;"Lanckorona (2)";6,27;
1218052;"Mucharz (2)";4,18;
1218062;"Spytkowice (2)";10,10;
1218072;"Stryszów (2)";6,79;
1218082;"Tomice (2)";8,24;
1218093;"Wadowice (3)";36,48;
1218094;"Wadowice - miasto (4)";17,20;
1218095;"Wadowice - obszar wiejski (5)";19,28;
1218102;"Wieprz (2)";12,76;
1219000;"Powiat wielicki";143,63;
1219012;"Biskupice (2)";11,74;
1219022;"Gdów (2)";18,64;
1219032;"Kłaj (2)";11,17;
1219043;"Niepołomice (3)";33,17;
1219044;"Niepołomice - miasto (4)";16,81;
1219045;"Niepołomice - obszar wiejski (5)";16,37;
1219053;"Wieliczka (3)";68,90;
1219054;"Wieliczka - miasto (4)";27,85;
1219055;"Wieliczka - obszar wiejski (5)";41,06;
1261000;"Powiat m. Kraków";806,20;
1261011;"Kraków (1)";806,20;
1262000;"Powiat m. Nowy Sącz";80,36;
1262011;"Nowy Sącz (1)";80,36;
1263000;"Powiat m. Tarnów";103,13;
1263011;"Tarnów (1)";103,13;
1400000;"MAZOWIECKIE";5510,53;
1401000;"Powiat białobrzeski";32,52;
1401013;"Białobrzegi (3)";9,77;
1401014;"Białobrzegi - miasto (4)";6,41;
1401015;"Białobrzegi - obszar wiejski (5)";3,36;
1401022;"Promna (2)";5,44;
1401032;"Radzanów (2)";3,80;
1401042;"Stara Błotnica (2)";5,45;
1401052;"Stromiec (2)";5,40;
1401063;"Wyśmierzyce (3)";2,67;
1401064;"Wyśmierzyce - miasto (4)";0,88;
1401065;"Wyśmierzyce - obszar wiejski (5)";1,80;
1402000;"Powiat ciechanowski";85,17;
1402011;"Ciechanów (1)";41,74;
1402022;"Ciechanów (2)";7,53;
1402033;"Glinojeck (3)";7,12;
1402034;"Glinojeck - miasto (4)";2,79;
1402035;"Glinojeck - obszar wiejski (5)";4,34;
1402042;"Gołymin-Ośrodek (2)";3,49;
1402052;"Grudusk (2)";3,30;
1402062;"Ojrzeń (2)";4,09;
1402072;"Opinogóra Górna (2)";5,85;
1402082;"Regimin (2)";4,71;
1402092;"Sońsk (2)";7,34;
1403000;"Powiat garwoliński";105,51;
1403011;"Garwolin (1)";17,27;
1403021;"Łaskarzew (1)";4,49;
1403032;"Borowie (2)";4,91;
1403042;"Garwolin (2)";13,50;
1403052;"Górzno (2)";6,70;
1403062;"Łaskarzew (2)";5,24;
1403072;"Maciejowice (2)";6,36;
1403082;"Miastków Kościelny (2)";4,64;
1403092;"Parysów (2)";4,10;
1403103;"Pilawa (3)";10,55;
1403104;"Pilawa - miasto (4)";4,43;
1403105;"Pilawa - obszar wiejski (5)";6,12;
1403112;"Sobolew (2)";7,81;
1403122;"Trojanów (2)";7,09;
1403132;"Wilga (2)";5,09;
1403143;"Żelechów (3)";7,77;
1403144;"Żelechów - miasto (4)";3,72;
1403145;"Żelechów - obszar wiejski (5)";4,06;
1404000;"Powiat gostyniński";42,24;
1404011;"Gostynin (1)";16,99;
1404022;"Gostynin (2)";11,75;
1404032;"Pacyna (2)";3,24;
1404043;"Sanniki (3)";5,61;
1404044;"Sanniki - miasto (4)";1,72;
1404045;"Sanniki - obszar wiejski (5)";3,89;
1404052;"Szczawin Kościelny (2)";4,66;
1405000;"Powiat grodziski";105,71;
1405011;"Milanówek (1)";16,42;
1405021;"Podkowa Leśna (1)";3,80;
1405032;"Baranów (2)";5,43;
1405043;"Grodzisk Mazowiecki (3)";55,45;
1405044;"Grodzisk Mazowiecki - miasto (4)";34,72;
1405045;"Grodzisk Mazowiecki - obszar wiejski (5)";20,74;
1405052;"Jaktorów (2)";13,50;
1405062;"Żabia Wola (2)";11,10;
1406000;"Powiat grójecki";97,03;
1406012;"Belsk Duży (2)";6,18;
1406022;"Błędów (2)";7,03;
1406032;"Chynów (2)";10,18;
1406042;"Goszczyn (2)";2,83;
1406053;"Grójec (3)";26,23;
1406054;"Grójec - miasto (4)";16,81;
1406055;"Grójec - obszar wiejski (5)";9,42;
1406062;"Jasieniec (2)";5,35;
1406073;"Mogielnica (3)";8,16;
1406074;"Mogielnica - miasto (4)";2,12;
1406075;"Mogielnica - obszar wiejski (5)";6,04;
1406083;"Nowe Miasto nad Pilicą (3)";7,11;
1406084;"Nowe Miasto nad Pilicą - miasto (4)";3,48;
1406085;"Nowe Miasto nad Pilicą - obszar wiejski (5)";3,63;
1406092;"Pniewy (2)";4,85;
1406113;"Warka (3)";19,12;
1406114;"Warka - miasto (4)";11,89;
1406115;"Warka - obszar wiejski (5)";7,23;
1407000;"Powiat kozienicki";57,15;
1407012;"Garbatka-Letnisko (2)";4,78;
1407022;"Głowaczów (2)";6,70;
1407032;"Gniewoszów (2)";3,77;
1407042;"Grabów nad Pilicą (2)";4,04;
1407053;"Kozienice (3)";27,75;
1407054;"Kozienice - miasto (4)";15,53;
1407055;"Kozienice - obszar wiejski (5)";12,22;
1407062;"Magnuszew (2)";6,39;
1407072;"Sieciechów (2)";3,73;
1408000;"Powiat legionowski";131,85;
1408011;"Legionowo (1)";52,63;
1408022;"Jabłonna (2)";23,36;
1408032;"Nieporęt (2)";17,25;
1408043;"Serock (3)";17,71;
1408044;"Serock - miasto (4)";5,28;
1408045;"Serock - obszar wiejski (5)";12,43;
1408052;"Wieliszew (2)";20,91;
1409000;"Powiat lipski";31,56;
1409012;"Chotcza (2)";2,19;
1409022;"Ciepielów (2)";5,19;
1409033;"Lipsko (3)";10,05;
1409034;"Lipsko - miasto (4)";4,95;
1409035;"Lipsko - obszar wiejski (5)";5,10;
1409042;"Rzeczniów (2)";4,05;
1409052;"Sienno (2)";5,52;
1409063;"Solec nad Wisłą (3)";4,57;
1409064;"Solec nad Wisłą - miasto (4)";0,93;
1409065;"Solec nad Wisłą - obszar wiejski (5)";3,63;
1410000;"Powiat łosicki";28,63;
1410012;"Huszlew (2)";2,63;
1410023;"Łosice (3)";10,41;
1410024;"Łosice - miasto (4)";6,81;
1410025;"Łosice - obszar wiejski (5)";3,60;
1410032;"Olszanka (2)";2,73;
1410042;"Platerów (2)";4,37;
1410052;"Sarnaki (2)";4,09;
1410062;"Stara Kornica (2)";4,39;
1411000;"Powiat makowski";41,74;
1411011;"Maków Mazowiecki (1)";8,94;
1411022;"Czerwonka (2)";2,54;
1411032;"Karniewo (2)";4,83;
1411042;"Krasnosielc (2)";5,87;
1411052;"Młynarze (2)";1,61;
1411062;"Płoniawy-Bramura (2)";4,86;
1411073;"Różan (3)";4,23;
1411074;"Różan - miasto (4)";2,62;
1411075;"Różan - obszar wiejski (5)";1,61;
1411082;"Rzewnie (2)";2,42;
1411092;"Sypniewo (2)";2,91;
1411102;"Szelków (2)";3,53;
1412000;"Powiat miński";159,39;
1412011;"Mińsk Mazowiecki (1)";39,84;
1412043;"Cegłów (3)";6,07;
1412044;"Cegłów - miasto (4)";2,31;
1412045;"Cegłów - obszar wiejski (5)";3,76;
1412052;"Dębe Wielkie (2)";11,86;
1412062;"Dobre (2)";5,84;
1412073;"Halinów (3)";18,25;
1412074;"Halinów - miasto (4)";3,75;
1412075;"Halinów - obszar wiejski (5)";14,49;
1412082;"Jakubów (2)";5,10;
1412093;"Kałuszyn (3)";5,52;
1412094;"Kałuszyn - miasto (4)";2,70;
1412095;"Kałuszyn - obszar wiejski (5)";2,82;
1412103;"Latowicz (3)";5,14;
1412104;"Latowicz - miasto (4)";1,34;
1412105;"Latowicz - obszar wiejski (5)";3,80;
1412112;"Mińsk Mazowiecki (2)";17,00;
1412123;"Mrozy (3)";8,65;
1412124;"Mrozy - miasto (4)";3,62;
1412125;"Mrozy - obszar wiejski (5)";5,02;
1412132;"Siennica (2)";7,66;
1412142;"Stanisławów (2)";7,04;
1412151;"Sulejówek (1)";21,43;
1413000;"Powiat mławski";69,07;
1413011;"Mława (1)";30,80;
1413022;"Dzierzgowo (2)";2,74;
1413032;"Lipowiec Kościelny (2)";4,46;
1413042;"Radzanów (2)";2,91;
1413052;"Strzegowo (2)";7,01;
1413062;"Stupsk (2)";4,44;
1413072;"Szreńsk (2)";3,79;
1413082;"Szydłowo (2)";4,19;
1413092;"Wieczfnia Kościelna (2)";3,63;
1413102;"Wiśniewo (2)";5,10;
1414000;"Powiat nowodworski";79,57;
1414011;"Nowy Dwór Mazowiecki (1)";28,55;
1414022;"Czosnów (2)";11,05;
1414032;"Leoncin (2)";5,59;
1414043;"Nasielsk (3)";19,25;
1414044;"Nasielsk - miasto (4)";7,32;
1414045;"Nasielsk - obszar wiejski (5)";11,93;
1414052;"Pomiechówek (2)";9,26;
1414063;"Zakroczym (3)";5,87;
1414064;"Zakroczym - miasto (4)";3,13;
1414065;"Zakroczym - obszar wiejski (5)";2,74;
1415000;"Powiat ostrołęcki";87,49;
1415012;"Baranowo (2)";5,96;
1415022;"Czarnia (2)";2,22;
1415032;"Czerwin (2)";4,72;
1415042;"Goworowo (2)";7,82;
1415052;"Kadzidło (2)";10,99;
1415062;"Lelis (2)";9,95;
1415072;"Łyse (2)";8,16;
1415083;"Myszyniec (3)";9,98;
1415084;"Myszyniec - miasto (4)";3,19;
1415085;"Myszyniec - obszar wiejski (5)";6,79;
1415092;"Olszewo-Borki (2)";11,03;
1415102;"Rzekuń (2)";12,16;
1415112;"Troszyn (2)";4,51;
1416000;"Powiat ostrowski";68,41;
1416011;"Ostrów Mazowiecka (1)";21,53;
1416022;"Andrzejewo (2)";3,77;
1416032;"Boguty-Pianki (2)";2,37;
1416043;"Brok (3)";2,57;
1416044;"Brok - miasto (4)";1,73;
1416045;"Brok - obszar wiejski (5)";0,83;
1416052;"Małkinia Górna (2)";10,79;
1416062;"Nur (2)";2,47;
1416072;"Ostrów Mazowiecka (2)";12,64;
1416082;"Stary Lubotyń (2)";3,58;
1416092;"Szulborze Wielkie (2)";1,50;
1416102;"Wąsewo (2)";3,95;
1416112;"Zaręby Kościelne (2)";3,25;
1417000;"Powiat otwocki";126,78;
1417011;"Józefów (1)";21,22;
1417021;"Otwock (1)";43,90;
1417032;"Celestynów (2)";11,65;
1417043;"Karczew (3)";15,83;
1417044;"Karczew - miasto (4)";9,25;
1417045;"Karczew - obszar wiejski (5)";6,58;
1417052;"Kołbiel (2)";8,30;
1417062;"Osieck (2)";3,66;
1417072;"Sobienie-Jeziory (2)";6,23;
1417082;"Wiązowna (2)";16,00;
1418000;"Powiat piaseczyński";215,09;
1418013;"Góra Kalwaria (3)";28,40;
1418014;"Góra Kalwaria - miasto (4)";12,13;
1418015;"Góra Kalwaria - obszar wiejski (5)";16,27;
1418023;"Konstancin-Jeziorna (3)";25,09;
1418024;"Konstancin-Jeziorna - miasto (4)";16,89;
1418025;"Konstancin-Jeziorna - obszar wiejski (5)";8,19;
1418032;"Lesznowola (2)";38,48;
1418043;"Piaseczno (3)";97,29;
1418044;"Piaseczno - miasto (4)";51,97;
1418045;"Piaseczno - obszar wiejski (5)";45,32;
1418052;"Prażmów (2)";13,37;
1418063;"Tarczyn (3)";12,46;
1418064;"Tarczyn - miasto (4)";4,34;
1418065;"Tarczyn - obszar wiejski (5)";8,12;
1419000;"Powiat płocki";109,53;
1419012;"Bielsk (2)";8,87;
1419023;"Bodzanów (3)";7,75;
1419024;"Bodzanów - miasto (4)";1,12;
1419025;"Bodzanów - obszar wiejski (5)";6,63;
1419032;"Brudzeń Duży (2)";8,25;
1419042;"Bulkowo (2)";5,19;
1419053;"Drobin (3)";7,29;
1419054;"Drobin - miasto (4)";2,63;
1419055;"Drobin - obszar wiejski (5)";4,66;
1419063;"Gąbin (3)";11,15;
1419064;"Gąbin - miasto (4)";4,12;
1419065;"Gąbin - obszar wiejski (5)";7,03;
1419072;"Łąck (2)";5,36;
1419082;"Mała Wieś (2)";5,63;
1419092;"Nowy Duninów (2)";3,93;
1419102;"Radzanowo (2)";8,71;
1419112;"Słubice (2)";4,12;
1419122;"Słupno (2)";9,05;
1419132;"Stara Biała (2)";12,27;
1419142;"Staroźreby (2)";6,77;
1419153;"Wyszogród (3)";5,19;
1419154;"Wyszogród - miasto (4)";2,40;
1419155;"Wyszogród - obszar wiejski (5)";2,79;
1420000;"Powiat płoński";84,01;
1420011;"Płońsk (1)";21,53;
1420021;"Raciąż (1)";3,97;
1420032;"Baboszewo (2)";7,41;
1420043;"Czerwińsk nad Wisłą (3)";7,14;
1420044;"Czerwińsk nad Wisłą - miasto (4)";0,98;
1420045;"Czerwińsk nad Wisłą - obszar wiejski (5)";6,16;
1420052;"Dzierzążnia (2)";3,35;
1420062;"Joniec (2)";2,78;
1420072;"Naruszewo (2)";5,88;
1420083;"Nowe Miasto (3)";4,55;
1420084;"Nowe Miasto - miasto (4)";1,51;
1420085;"Nowe Miasto - obszar wiejski (5)";3,03;
1420092;"Płońsk (2)";8,45;
1420102;"Raciąż (2)";7,84;
1420113;"Sochocin (3)";5,62;
1420114;"Sochocin - miasto (4)";1,93;
1420115;"Sochocin - obszar wiejski (5)";3,69;
1420122;"Załuski (2)";5,49;
1421000;"Powiat pruszkowski";179,67;
1421011;"Piastów (1)";22,93;
1421021;"Pruszków (1)";65,46;
1421033;"Brwinów (3)";30,00;
1421034;"Brwinów - miasto (4)";14,57;
1421035;"Brwinów - obszar wiejski (5)";15,43;
1421042;"Michałowice (2)";19,44;
1421052;"Nadarzyn (2)";18,31;
1421062;"Raszyn (2)";23,53;
1422000;"Powiat przasnyski";49,04;
1422011;"Przasnysz (1)";16,36;
1422023;"Chorzele (3)";9,23;
1422024;"Chorzele - miasto (4)";2,89;
1422025;"Chorzele - obszar wiejski (5)";6,34;
1422032;"Czernice Borowe (2)";3,49;
1422042;"Jednorożec (2)";6,61;
1422052;"Krasne (2)";3,27;
1422062;"Krzynowłoga Mała (2)";3,24;
1422072;"Przasnysz (2)";6,85;
1423000;"Powiat przysuski";38,62;
1423012;"Borkowice (2)";3,98;
1423022;"Gielniów (2)";4,29;
1423032;"Klwów (2)";3,10;
1423042;"Odrzywół (2)";3,39;
1423052;"Potworów (2)";3,98;
1423063;"Przysucha (3)";10,83;
1423064;"Przysucha - miasto (4)";5,29;
1423065;"Przysucha - obszar wiejski (5)";5,54;
1423072;"Rusinów (2)";3,97;
1423082;"Wieniawa (2)";5,07;
1424000;"Powiat pułtuski";50,31;
1424012;"Gzy (2)";3,55;
1424022;"Obryte (2)";4,31;
1424032;"Pokrzywnica (2)";5,14;
